id,equipment,gifUrl,name,target,bodyPart,calories 12 reps (cals)
161,barbell,http://d205bpvrqc9yn1.cloudfront.net/0119.gif,barbell upright row v. 2,delts,shoulder,6
162,barbell,http://d205bpvrqc9yn1.cloudfront.net/0121.gif,barbell upright row v. 3,delts,shoulder,5
163,barbell,http://d205bpvrqc9yn1.cloudfront.net/0123.gif,barbell wide-grip upright row,delts,shoulder,5
164,barbell,http://d205bpvrqc9yn1.cloudfront.net/0788.gif,standing behind neck press,delts,shoulder,5
165,body weight,http://d205bpvrqc9yn1.cloudfront.net/2271.gif,left hook. boxing,delts,shoulder,4
166,body weight,http://d205bpvrqc9yn1.cloudfront.net/0669.gif,rear deltoid stretch,delts,shoulder,4
167,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0286.gif,dumbbell alternate side press,delts,shoulder,6
168,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2137.gif,dumbbell arnold press,delts,shoulder,6
169,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0287.gif,dumbbell arnold press v. 2,delts,shoulder,7
170,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0290.gif,dumbbell bench seated press,delts,shoulder,5
171,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0299.gif,dumbbell cuban press,delts,shoulder,6
172,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2136.gif,dumbbell cuban press v. 2,delts,shoulder,5
173,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0310.gif,dumbbell front raise,delts,shoulder,6
174,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0309.gif,dumbbell front raise v. 2,delts,shoulder,5
175,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0311.gif,dumbbell full can lateral raise,delts,shoulder,4
176,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0332.gif,dumbbell iron cross,delts,shoulder,5
177,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0334.gif,dumbbell lateral raise,delts,shoulder,4
178,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0335.gif,dumbbell lateral to front raise,delts,shoulder,5
179,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0863.gif,dumbbell lying external shoulder rotation,delts,shoulder,6
180,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2470.gif,dumbbell lying on floor rear delt raise,delts,shoulder,4
181,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0356.gif,dumbbell one arm lateral raise with support,delts,shoulder,5
182,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0359.gif,dumbbell one arm reverse fly (with support),delts,shoulder,5
183,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0361.gif,dumbbell one arm shoulder press,delts,shoulder,6
184,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0360.gif,dumbbell one arm shoulder press v. 2,delts,shoulder,6
185,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0363.gif,dumbbell one arm upright row,delts,shoulder,5
186,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1700.gif,dumbbell push press,delts,shoulder,6
187,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0376.gif,dumbbell raise,delts,shoulder,5
188,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2292.gif,dumbbell rear delt raise,delts,shoulder,6
189,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0378.gif,dumbbell rear fly,delts,shoulder,5
190,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0380.gif,dumbbell rear lateral raise,delts,shoulder,6
191,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2397.gif,dumbbell scott press,delts,shoulder,5
192,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0387.gif,dumbbell seated alternate front raise,delts,shoulder,6
